Study,BioProject,Sample,Raw,Trimmed,Aligned,Input Reads,Assigned Reads
Stephens2021,PRJNA731596,SRR14611021,13987994,13203215,6623493,,
Stephens2021,PRJNA731596,SRR14611022,19306548,18111532,9391403,,
Stephens2021,PRJNA731596,SRR14611023,18272966,17242505,8057040,,
Stephens2021,PRJNA731596,SRR14611024,19916344,18785108,8342274,,
Stephens2021,PRJNA731596,SRR14611025,16731369,15024780,7167650,,
Stephens2021,PRJNA731596,SRR14611026,17410678,15640658,6877948,,
Stephens2021,PRJNA731596,SRR14611027,18016143,17616420,10388181,,
Stephens2021,PRJNA731596,SRR14611028,20933529,20455003,11180023,,
Stephens2021,PRJNA731596,SRR14611029,17484124,16092417,6759575,,
Stephens2021,PRJNA731596,SRR14611030,14054028,13212960,7249788,,
Stephens2021,PRJNA731596,SRR14611033,19977535,19458119,12063288,,
Stephens2021,PRJNA731596,SRR14611034,21323841,20763933,11941952,,
Stephens2021,PRJNA731596,SRR14611035,17769788,15543795,8019259,,
Stephens2021,PRJNA731596,SRR14611036,19378365,18967833,9117184,,
Stephens2021,PRJNA731596,SRR14611037,15570307,14287913,7444227,,
Stephens2021,PRJNA731596,SRR14611038,21624033,20347266,10697887,,
Stephens2021,PRJNA731596,SRR14611039,16963733,14761276,8186128,,
Stephens2021,PRJNA731596,SRR14611040,21318703,20795080,12349312,,
Stephens2021,PRJNA731596,SRR14611041,19289808,18831615,9047499,,
Stephens2021,PRJNA731596,SRR14611042,18570925,18150101,10647087,,
Stephens2021,PRJNA731596,SRR14611044,20915691,20204482,12071040,,
Stephens2021,PRJNA731596,SRR14611045,17934016,16527370,9441346,,
Stephens2021,PRJNA731596,SRR14611046,17097186,15202231,7553640,,
Stephens2021,PRJNA731596,SRR14611047,17350632,15652426,6662749,,
Stephens2021,PRJNA731596,SRR14611048,19232723,17685058,8129860,,
Stephens2021,PRJNA731596,SRR14611049,17128962,15751090,5861498,,
Stephens2021,PRJNA731596,SRR14611050,16737847,14987297,6679021,,
Stephens2021,PRJNA731596,SRR14611051,17683302,16185061,8475685,,
Stephens2021,PRJNA731596,SRR14611052,22604608,22020240,12559097,,
Stephens2021,PRJNA731596,SRR14611053,17633548,15528832,8055965,,
Stephens2021,PRJNA731596,SRR14611055,21917286,20574430,8950401,,
Stephens2021,PRJNA731596,SRR14611056,21015472,19659720,10342906,,
Stephens2021,PRJNA731596,SRR14611057,19206177,18750941,10392115,,
Zhu2021,PRJNA544778,SRR12710856,31913677,31521711,22009740,,
Zhu2021,PRJNA544778,SRR12710862,24201096,23909630,17408709,,
Zhu2021,PRJNA544778,SRR12710863,28853305,28492253,20747775,,
Zhu2021,PRJNA544778,SRR12710864,23050661,22760038,16514477,,
Zhu2021,PRJNA544778,SRR12710867,26085594,25751898,17958459,,
Zhu2021,PRJNA544778,SRR12710868,26049518,25708570,17907220,,
Zhu2021,PRJNA544778,SRR12786902,27590794,27317155,17897606,,
Zhu2021,PRJNA544778,SRR12786905,28987325,28699738,18641469,,
Zhu2021,PRJNA544778,SRR12786906,22073311,21830003,14263591,,
Zhu2021,PRJNA544778,SRR12904788,27164723,26618776,15489427,,
Zhu2021,PRJNA544778,SRR12904789,24906438,24437942,14301001,,
Zhu2021,PRJNA544778,SRR12904790,28190362,27662090,15995560,,
Grupstra2022,PRJNA778019,SRR16897911,95197157,91535002,10368302,,
Grupstra2022,PRJNA778019,SRR16897914,77840951,75684134,3356286,,
Grupstra2022,PRJNA778019,SRR16897910,64314353,61529578,6633631,,
Grupstra2022,PRJNA778019,SRR16897912,77703317,75293309,3726436,,
Grupstra2022,PRJNA778019,SRR16897913,87163289,85002423,4673047,,
